name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Benjamin Godard - Victor Hugo,16107,4,0,"[48.865983, 2.275725]",2023-04-25T07:43:16+00:00,4,30,35,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Mairie de Rosny-sous-Bois,31104,14,0,"[48.871256519012, 2.4865807592869]",2023-04-25T07:44:49+00:00,14,16,30,OUI,OUI,Rosny-sous-Bois,OUI,2023-04-25T07:58:00.616Z
Mairie du 12ème,12109,0,0,"[48.840855311763, 2.3875549435616]",2023-04-25T07:43:42+00:00,0,30,30,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-04-25T07:58:00.616Z
Cassini - Denfert-Rochereau,14111,3,1,"[48.837525839067, 2.3360354080796]",2023-04-25T07:37:03+00:00,4,21,25,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Saint-Sulpice,6003,3,0,"[48.85165383178419, 2.3308077827095985]",2023-04-25T07:45:34+00:00,3,16,21,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Le Brun - Gobelins,13007,0,1,"[48.835092787824, 2.3534681351338]",2023-04-25T07:36:03+00:00,1,47,48,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-04-25T07:58:00.616Z
André Karman - République,33006,11,4,"[48.91039875761846, 2.3851355910301213]",2023-04-25T07:45:34+00:00,15,13,31,OUI,OUI,Aubervilliers,OUI,2023-04-25T07:58:00.616Z
Grande Armée - Brunel,17038,10,8,"[48.876116, 2.288124]",2023-04-25T07:45:14+00:00,18,40,62,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Square Boucicaut,7003,14,14,"[48.851296433665276, 2.325061820447445]",2023-04-25T07:44:13+00:00,28,32,60,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Morillons - Dantzig,15047,1,0,"[48.83310149953933, 2.299380004405976]",2023-04-25T07:37:46+00:00,1,51,52,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Croulebarde - Corvisart,13101,0,1,"[48.830981659316855, 2.3481646925210953]",2023-04-25T07:41:03+00:00,1,32,34,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Le Brix et Mesmin - Jourdan,14108,0,0,"[48.82234096593411, 2.327861653302471]",2023-04-25T07:40:58+00:00,0,20,21,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Liberté - Vert-de-Maisons,47007,4,14,"[48.79014780960843, 2.43286281824112]",2023-04-25T07:45:06+00:00,18,2,20,OUI,OUI,Maisons-Alfort,OUI,2023-04-25T07:58:00.616Z
Alibert - Jemmapes,10013,1,0,"[48.871044051984, 2.3661044619878]",2023-04-25T07:42:34+00:00,1,58,60,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Chazelles - Courcelles,17025,5,2,"[48.879406604954, 2.3034455627202988]",2023-04-25T07:45:03+00:00,7,26,35,OUI,OUI,Paris,OUI,2023-04-25T07:58:00.616Z
Moulin de Pierre - Abbé Grégoire,21326,1,0,"[48.822036188382, 2.2754641655975]",2023-04-25T07:38:14+00:00,1,19,20,OUI,OUI,Issy-les-Moulineaux,OUI,2023-04-25T07:58:00.616Z
