name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-05-17T12:41:00.57Z
Jourdan - Stade Charléty,14014,2,3,"[48.819428333369, 2.3433353751898]",2023-05-17T11:52:08+00:00,5,54,60,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Basilique,32017,2,1,"[48.93626891059109, 2.3588666820200914]",2023-05-17T11:46:26+00:00,3,18,22,OUI,OUI,Saint-Denis,OUI,2023-05-17T12:41:00.57Z
Charonne - Robert et Sonia Delaunay,11104,2,0,"[48.855907555969, 2.3925706744194]",2023-05-17T11:50:03+00:00,2,17,20,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Saint-Sulpice,6003,11,6,"[48.85165383178419, 2.3308077827095985]",2023-05-17T11:51:24+00:00,17,4,21,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Le Brun - Gobelins,13007,0,1,"[48.835092787824, 2.3534681351338]",2023-05-17T11:51:18+00:00,1,47,48,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-05-17T12:41:00.57Z
Saint-Romain - Cherche-Midi,6108,5,10,"[48.84708159081946, 2.321374788880348]",2023-05-17T11:50:08+00:00,15,2,17,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
André Karman - République,33006,1,14,"[48.91039875761846, 2.3851355910301213]",2023-05-17T11:51:35+00:00,15,16,31,OUI,OUI,Aubervilliers,OUI,2023-05-17T12:41:00.57Z
Beaux-Arts - Bonaparte,6021,7,10,"[48.856451985395786, 2.334851883351803]",2023-05-17T11:49:23+00:00,17,3,20,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Silly - Galliéni,21010,8,3,"[48.835583838706, 2.2325500845909]",2023-05-17T11:48:50+00:00,11,13,25,OUI,OUI,Boulogne-Billancourt,OUI,2023-05-17T12:41:00.57Z
Jouffroy d'Abbans - Wagram,17026,3,3,"[48.881973298352, 2.301132157445]",2023-05-17T11:43:42+00:00,6,17,40,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Thouin - Cardinal Lemoine,5016,2,1,"[48.84504716661511, 2.3494647851273465]",2023-05-17T11:51:49+00:00,3,13,17,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Morillons - Dantzig,15047,1,1,"[48.83310149953933, 2.299380004405976]",2023-05-17T11:51:55+00:00,2,47,52,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Boétie - Ponthieu,8050,13,14,"[48.871417284355, 2.3076787590981]",2023-05-17T11:51:49+00:00,27,5,33,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Croulebarde - Corvisart,13101,3,2,"[48.830981659316855, 2.3481646925210953]",2023-05-17T11:50:33+00:00,5,29,34,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Le Brix et Mesmin - Jourdan,14108,4,0,"[48.82234096593411, 2.327861653302471]",2023-05-17T11:50:35+00:00,4,17,21,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Romainville - Vaillant-Couturier,31024,1,0,"[48.86785, 2.446748]",2023-05-17T11:50:02+00:00,1,37,38,OUI,OUI,Montreuil,OUI,2023-05-17T12:41:00.57Z
Bir Hakeim,15026,4,21,"[48.853844054333514, 2.289705348222022]",2023-05-17T11:52:05+00:00,25,7,33,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Liberté - Vert-de-Maisons,47007,3,15,"[48.79014780960843, 2.43286281824112]",2023-05-17T11:51:06+00:00,18,1,20,OUI,OUI,Maisons-Alfort,OUI,2023-05-17T12:41:00.57Z
Cambrai - Benjamin Constant,19033,3,1,"[48.89594736851349, 2.381133802246315]",2023-05-17T11:48:14+00:00,4,37,43,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Chazelles - Courcelles,17025,8,1,"[48.879406604954, 2.3034455627202988]",2023-05-17T11:48:56+00:00,9,24,35,OUI,OUI,Paris,OUI,2023-05-17T12:41:00.57Z
Louis Lejeune - Barbès,21216,5,1,"[48.81807418981508, 2.3267009854316716]",2023-05-17T11:49:32+00:00,6,19,25,OUI,OUI,Montrouge,OUI,2023-05-17T12:41:00.57Z
Rond-point du Dr Albert Schweitzer,22207,2,14,"[48.78980918988166, 2.3143940046429634]",2023-05-17T11:51:48+00:00,16,5,22,OUI,OUI,Bagneux,OUI,2023-05-17T12:41:00.57Z
