name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Raspail Barbès,31028,3,14,"[48.8529945, 2.4247387]",2023-05-02T13:04:35+00:00,17,10,28,OUI,OUI,Montreuil,OUI,2023-05-02T13:33:00.428Z
De Toqueville - Terrasse,17048,1,2,"[48.882428, 2.314002]",2023-05-02T13:06:24+00:00,3,27,30,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Michel-Ange - Parent de Rosan,16118,1,2,"[48.840579923690115, 2.2584119439125065]",2023-05-02T12:57:52+00:00,3,22,26,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Charlot - Stade Gabriel Voisin,21323,0,0,"[48.827228120536, 2.268122527474]",2023-04-07T06:20:24+00:00,0,0,0,NON,NON,Issy-les-Moulineaux,NON,2023-05-02T13:33:00.428Z
Liard - Amiral Mouchez,14013,1,1,"[48.8214169, 2.342167]",2023-05-02T13:05:05+00:00,2,11,14,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Las Cases - Bourgogne,7011,10,10,"[48.85909110474066, 2.3185685276985173]",2023-05-02T13:06:03+00:00,20,1,22,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Abbeville - Faubourg Poissonnière,9002,2,1,"[48.879223, 2.349147]",2023-05-02T13:03:00+00:00,3,9,14,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Youri Gagarine - Karl Marx,48003,1,2,"[48.78448485079149, 2.35908430069685]",2023-05-02T13:01:16+00:00,3,19,22,OUI,OUI,Villejuif,OUI,2023-05-02T13:33:00.428Z
Octave Feuillet - Albéric Magnard,16110,5,0,"[48.86106902949534, 2.2730283066630363]",2023-05-02T13:02:35+00:00,5,16,21,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Faubourg Montmartre - La Fayette,9014,15,14,"[48.87525454905335, 2.340853661298752]",2023-05-02T13:05:31+00:00,29,4,35,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Jean Oestreicher - Porte de Champerret,17032,1,1,"[48.88655580065981, 2.288640439510346]",2023-05-02T13:06:55+00:00,2,19,21,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Square Louis XVI,8016,9,16,"[48.87320440102894, 2.323658830743138]",2023-05-02T13:06:40+00:00,25,3,29,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Dunkerque - Rocroy,10029,0,0,"[48.880726, 2.351464]",2023-05-02T13:03:47+00:00,0,22,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Gay Lussac - Saint-Jacques,5005,11,9,"[48.844730256132095, 2.341923944866407]",2023-05-02T13:06:37+00:00,20,2,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Gare de l'Est - Faubourg-Saint-Martin,10161,5,1,"[48.875642647477, 2.3594588041306]",2023-05-02T13:04:22+00:00,6,25,32,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Place de la République - Voltaire,11046,0,0,"[48.866830968942, 2.3654810339212]",2023-05-02T13:00:57+00:00,0,19,19,NON,OUI,Paris,NON,2023-05-02T13:33:00.428Z
Boulangers - Cardinal Lemoine,5022,6,12,"[48.8462904, 2.3521495]",2023-05-02T13:07:01+00:00,18,2,20,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Arsène Houssaye - Friedland,8201,25,3,"[48.874510616163, 2.2994716674148]",2023-05-02T13:06:06+00:00,28,1,29,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Quai de l'Horloge - Pont Neuf,1001,9,6,"[48.857058739111, 2.3417982839439]",2023-05-02T13:05:29+00:00,15,1,17,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Ambroise Rendu - Porte Brunet,19105,0,0,"[48.883667, 2.395733]",2023-05-02T13:06:23+00:00,0,16,17,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Gare Rosny-Bois-Perrier,31103,18,9,"[48.88115023337061, 2.480436824262142]",2023-05-02T13:05:12+00:00,27,7,36,OUI,OUI,Rosny-sous-Bois,OUI,2023-05-02T13:33:00.428Z
Porte Pouchet-Bessières,17008,4,0,"[48.8978765, 2.3230632]",2023-05-02T13:06:54+00:00,4,17,23,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Vigée-Lebrun - Anselme Payen,15112,0,1,"[48.838683941628375, 2.3110422492027287]",2023-05-02T13:03:13+00:00,1,23,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Octave Gréard - Tour Eiffel,7025,25,7,"[48.856502977696, 2.2931787543289]",2023-05-02T13:04:46+00:00,32,1,33,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Institut de France,6001,6,8,"[48.857615678565, 2.3358313530377]",2023-05-02T13:05:34+00:00,14,2,17,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Thionville - Ourcq,19015,1,1,"[48.88917613743794, 2.3833653330802917]",2023-05-02T13:00:55+00:00,2,22,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Rossini - Laffitte,9022,17,11,"[48.87334627510507, 2.337980867701675]",2023-05-02T13:06:24+00:00,28,3,33,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Argenteuil - Voltaire,26003,5,0,"[48.91864865955558, 2.2814112156629562]",2023-05-02T13:06:56+00:00,5,10,16,OUI,OUI,Asnières-sur-Seine,OUI,2023-05-02T13:33:00.428Z
Quai de la Seine,19003,0,1,"[48.884492238407525, 2.3703941702842717]",2023-05-02T13:02:37+00:00,1,21,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Pesaro - Préfecture,92007,13,2,"[48.89577046284005, 2.223908342421055]",2023-05-02T13:02:55+00:00,15,6,22,OUI,OUI,Nanterre,OUI,2023-05-02T13:33:00.428Z
Gare du Nord - Hôpital Lariboisière,10107,0,0,"[48.881949, 2.352339]",2023-05-02T13:06:38+00:00,0,49,49,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Belidor - Gouvion-Saint-Cyr,17043,4,0,"[48.88022154052015, 2.2854680567979813]",2023-05-02T13:02:46+00:00,4,35,39,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Roquette - Thiéré,11002,1,0,"[48.85507930579506, 2.3733686318721463]",2023-05-02T13:05:01+00:00,1,20,23,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Exelmans - Versailles,16039,2,17,"[48.84097491091973, 2.264390252530575]",2023-05-02T13:04:47+00:00,19,27,49,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Pereire - Rennequin,17030,0,1,"[48.88364782887555, 2.2952447086572647]",2023-05-02T13:03:59+00:00,1,22,23,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Claude Decaen - Cannebière,12111,0,0,"[48.83761417037952, 2.397253782195704]",2023-05-02T13:05:37+00:00,0,27,27,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Cimetière de Montrouge,14020,3,1,"[48.822009, 2.322188699]",2023-05-02T13:02:55+00:00,4,54,58,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Desaix - Edgar Faure,15067,6,3,"[48.852804604940296, 2.293077029857222]",2023-05-02T13:01:42+00:00,9,2,12,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Notre-Dame-des-Champs - Stanislas,6006,4,1,"[48.84479928858768, 2.329337755887181]",2023-05-02T13:00:04+00:00,5,14,19,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Saint-Ambroise - Parmentier,11027,1,1,"[48.862147844548, 2.3772348091006]",2023-05-02T13:03:56+00:00,2,33,38,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Pyramide - Ecole du Breuil,12128,15,11,"[48.82237977153955, 2.4586871266365056]",2023-05-02T13:03:57+00:00,26,8,34,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Liège - Moscou,8010,2,4,"[48.8795431, 2.3264628]",2023-05-02T13:02:58+00:00,6,11,17,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Square Simon Bolivar,19101,1,0,"[48.8750898883217, 2.3826304078102116]",2023-05-02T13:03:23+00:00,1,21,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Schoelcher - Raspail,14003,1,0,"[48.83681733526843, 2.3312794080411474]",2023-05-02T12:59:51+00:00,1,48,50,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Rouget de Lisle,46002,2,1,"[48.764615483395254, 2.4071189761161804]",2023-05-02T12:58:14+00:00,3,32,35,OUI,OUI,Choisy-le-Roi,OUI,2023-05-02T13:33:00.428Z
Marne - Germain Dardan,21212,4,12,"[48.81154270401601, 2.303070724010468]",2023-05-02T13:07:02+00:00,16,5,22,OUI,OUI,Montrouge,OUI,2023-05-02T13:33:00.428Z
Port-Royal - Hôpital du Val-de-Grâce,13001,7,8,"[48.837668272811, 2.3448138346607]",2023-05-02T13:00:28+00:00,15,3,18,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Grands Moulins de Pantin,19044,1,7,"[48.89738369720229, 2.3959985375404362]",2023-05-02T13:05:00+00:00,8,42,50,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Pajol - Place Herbert,18011,4,0,"[48.8927825, 2.3635598]",2023-05-02T13:01:46+00:00,4,35,39,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Fontenay - Libération,43008,1,0,"[48.84780306364685, 2.445141971111298]",2023-05-02T13:02:29+00:00,1,24,25,OUI,OUI,Vincennes,OUI,2023-05-02T13:33:00.428Z
Gabriel Péri - Francisco Ferrer,33102,0,1,"[48.88633710236977, 2.407338917255402]",2023-05-02T13:06:00+00:00,1,16,18,OUI,OUI,Le Pré-Saint-Gervais,OUI,2023-05-02T13:33:00.428Z
Roger Salengro - Fontainebleau,42706,1,1,"[48.814548697325, 2.3611663654447]",2023-05-02T13:05:44+00:00,2,23,25,OUI,OUI,Le Kremlin-Bicêtre,OUI,2023-05-02T13:33:00.428Z
Hôpital Européen Georges Pompidou,15104,13,51,"[48.83769531916335, 2.275374233722687]",2023-05-02T13:06:11+00:00,64,0,64,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Victor Hugo - Jeanne Jugan,12114,1,0,"[48.843949064031825, 2.415081394834419]",2023-05-02T13:05:21+00:00,1,27,28,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Buisson Saint-Louis - Saint-Maur,10024,2,1,"[48.87174684930295, 2.3722528328789854]",2023-05-02T13:05:44+00:00,3,15,19,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Place Albert Kahn,18031,4,1,"[48.8957969797804, 2.345585584134864]",2023-05-02T13:02:11+00:00,5,40,46,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Rocher - Laborde,8017,23,20,"[48.87590240712654, 2.322616316378116]",2023-05-02T13:06:47+00:00,43,19,65,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Lecourbe - Jean Maridor,15054,3,4,"[48.83796366147599, 2.2877392172813416]",2023-05-02T13:02:41+00:00,7,12,19,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Mouton Duvernet - Général Leclerc,14008,1,1,"[48.831632518292565, 2.3293121159076686]",2023-05-02T13:06:44+00:00,2,37,39,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Erasme - Ulm,5124,20,0,"[48.84264375274712, 2.3445946723222733]",2023-05-02T13:07:10+00:00,20,2,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Guy Môquet - Etienne Dolet,22406,1,1,"[48.81527009991819, 2.298078276995073]",2023-05-02T13:02:14+00:00,2,21,23,OUI,OUI,Malakoff,OUI,2023-05-02T13:33:00.428Z
Bertie Albrecht - Hoche,8054,25,5,"[48.87614039826388, 2.301303138307601]",2023-05-02T13:06:45+00:00,30,2,32,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Sibelle - Alésia,14012,3,0,"[48.826701758539215, 2.3384983465075493]",2023-05-02T13:03:17+00:00,3,21,25,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Marcelin Berthelot,21006,8,6,"[48.8415473058801, 2.233161628246308]",2023-05-02T13:04:17+00:00,14,13,27,OUI,OUI,Boulogne-Billancourt,OUI,2023-05-02T13:33:00.428Z
Gabriel Péri - Danielle Casanova,44003,1,4,"[48.790114, 2.4025777]",2023-05-02T13:05:05+00:00,5,15,20,OUI,OUI,Vitry-sur-Seine,OUI,2023-05-02T13:33:00.428Z
Lakanal - Commerce,15034,1,2,"[48.84442462786544, 2.294059172272682]",2023-05-02T13:04:39+00:00,3,48,53,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Carnot - Pâquerettes,41404,0,5,"[48.79592939432515, 2.4261841177940373]",2023-05-02T13:06:03+00:00,5,21,26,OUI,OUI,Alfortville,OUI,2023-05-02T13:33:00.428Z
Karl Marx,48010,0,1,"[48.784527937293184, 2.3646667979455587]",2023-05-02T12:59:02+00:00,1,15,16,OUI,OUI,Villejuif,OUI,2023-05-02T13:33:00.428Z
Oberkampf - République,11030,2,1,"[48.865316087070475, 2.3761147849099955]",2023-05-02T13:07:07+00:00,3,21,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
Cossonnerie - Sébastopol,1119,3,17,"[48.86132665908402, 2.349419631063938]",2023-05-02T13:06:35+00:00,20,4,24,OUI,OUI,Paris,OUI,2023-05-02T13:33:00.428Z
