name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Mairie de Rosny-sous-Bois,31104,12,1,"[48.871256519012, 2.4865807592869]",2023-05-09T11:21:47+00:00,13,17,30,OUI,OUI,Rosny-sous-Bois,OUI,2023-05-09T12:11:00.693Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-05-09T12:11:00.693Z
Jourdan - Stade Charléty,14014,5,9,"[48.819428333369, 2.3433353751898]",2023-05-09T11:27:29+00:00,14,45,60,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Basilique,32017,12,4,"[48.93626891059109, 2.3588666820200914]",2023-05-09T11:27:21+00:00,16,4,22,OUI,OUI,Saint-Denis,OUI,2023-05-09T12:11:00.693Z
Charonne - Robert et Sonia Delaunay,11104,1,1,"[48.855907555969, 2.3925706744194]",2023-05-09T11:21:11+00:00,2,18,20,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Messine - Place Du Pérou,8026,6,1,"[48.875448033960744, 2.315508019010038]",2023-05-09T11:26:49+00:00,7,5,12,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-05-09T12:11:00.693Z
Saint-Romain - Cherche-Midi,6108,4,4,"[48.84708159081946, 2.321374788880348]",2023-05-09T11:27:38+00:00,8,9,17,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Pierre et Marie Curie - Maurice Thorez,42016,3,0,"[48.81580226360801, 2.376804985105991]",2023-05-09T11:26:01+00:00,3,24,27,OUI,OUI,Ivry-sur-Seine,OUI,2023-05-09T12:11:00.693Z
Beaux-Arts - Bonaparte,6021,6,5,"[48.856451985395786, 2.334851883351803]",2023-05-09T11:23:19+00:00,11,9,20,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Silly - Galliéni,21010,2,8,"[48.835583838706, 2.2325500845909]",2023-05-09T11:22:28+00:00,10,15,25,OUI,OUI,Boulogne-Billancourt,OUI,2023-05-09T12:11:00.693Z
Grande Armée - Brunel,17038,4,1,"[48.876116, 2.288124]",2023-05-09T11:27:00+00:00,5,55,62,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Square Boucicaut,7003,5,13,"[48.851296433665276, 2.325061820447445]",2023-05-09T11:25:47+00:00,18,42,60,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Jouffroy d'Abbans - Wagram,17026,1,3,"[48.881973298352, 2.301132157445]",2023-05-09T11:26:50+00:00,4,19,40,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Froment - Bréguet,11025,5,31,"[48.8570414504784, 2.37289470306807]",2023-05-09T11:27:05+00:00,36,4,43,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Morillons - Dantzig,15047,0,0,"[48.83310149953933, 2.299380004405976]",2023-05-09T11:20:07+00:00,0,52,52,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Boétie - Ponthieu,8050,4,4,"[48.871417284355, 2.3076787590981]",2023-05-09T11:25:19+00:00,8,25,33,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Croulebarde - Corvisart,13101,6,8,"[48.830981659316855, 2.3481646925210953]",2023-05-09T11:21:55+00:00,14,19,34,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Le Brix et Mesmin - Jourdan,14108,1,0,"[48.82234096593411, 2.327861653302471]",2023-05-09T11:27:45+00:00,1,20,21,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Romainville - Vaillant-Couturier,31024,0,0,"[48.86785, 2.446748]",2023-05-09T11:25:25+00:00,0,37,38,OUI,OUI,Montreuil,OUI,2023-05-09T12:11:00.693Z
Bir Hakeim,15026,2,9,"[48.853844054333514, 2.289705348222022]",2023-05-09T11:25:50+00:00,11,21,33,OUI,OUI,Paris,OUI,2023-05-09T12:11:00.693Z
Liberté - Vert-de-Maisons,47007,9,10,"[48.79014780960843, 2.43286281824112]",2023-05-09T11:23:42+00:00,19,0,20,OUI,OUI,Maisons-Alfort,OUI,2023-05-09T12:11:00.693Z
