name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Mairie de Rosny-sous-Bois,31104,14,4,"[48.871256519012, 2.4865807592869]",2023-04-28T09:53:27+00:00,18,11,30,OUI,OUI,Rosny-sous-Bois,OUI,2023-04-28T10:16:00.965Z
Mairie du 12ème,12109,0,1,"[48.840855311763, 2.3875549435616]",2023-04-28T09:53:08+00:00,1,28,30,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-04-28T10:16:00.965Z
Cassini - Denfert-Rochereau,14111,8,4,"[48.837525839067, 2.3360354080796]",2023-04-28T09:53:55+00:00,12,9,25,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Jourdan - Stade Charléty,14014,6,3,"[48.819428333369, 2.3433353751898]",2023-04-28T09:53:40+00:00,9,49,60,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Messine - Place Du Pérou,8026,7,3,"[48.875448033960744, 2.315508019010038]",2023-04-28T09:52:57+00:00,10,2,12,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-04-28T10:16:00.965Z
Lacépède - Monge,5110,3,2,"[48.84389286531899, 2.3519663885235786]",2023-04-28T09:53:43+00:00,5,17,23,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Saint-Romain - Cherche-Midi,6108,5,3,"[48.84708159081946, 2.321374788880348]",2023-04-28T09:50:03+00:00,8,8,17,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Bois de Vincennes - Gare,41301,5,12,"[48.836022242886884, 2.4708339950830287]",2023-04-28T09:52:55+00:00,17,31,50,OUI,OUI,Nogent-sur-Marne,OUI,2023-04-28T10:16:00.965Z
Silly - Galliéni,21010,7,8,"[48.835583838706, 2.2325500845909]",2023-04-28T09:54:11+00:00,15,10,25,OUI,OUI,Boulogne-Billancourt,OUI,2023-04-28T10:16:00.965Z
Grande Armée - Brunel,17038,17,2,"[48.876116, 2.288124]",2023-04-28T09:54:48+00:00,19,41,62,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Bracion - Périphérique,15202,2,1,"[48.826103771275, 2.3004549373748]",2023-04-28T09:53:35+00:00,3,26,30,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Square Boucicaut,7003,20,16,"[48.851296433665276, 2.325061820447445]",2023-04-28T09:54:38+00:00,36,21,60,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Vaneau - Sèvres,7002,3,13,"[48.84856323305935, 2.3204218259345537]",2023-04-28T09:54:00+00:00,16,17,35,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Guersant - Gouvion-Saint-Cyr,17041,3,4,"[48.88287775178599, 2.287667370814871]",2023-04-28T09:54:42+00:00,7,27,36,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Jouffroy d'Abbans - Wagram,17026,5,1,"[48.881973298352, 2.301132157445]",2023-04-28T09:54:29+00:00,6,15,40,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Thouin - Cardinal Lemoine,5016,15,1,"[48.84504716661511, 2.3494647851273465]",2023-04-28T09:52:31+00:00,16,1,17,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Froment - Bréguet,11025,0,15,"[48.8570414504784, 2.37289470306807]",2023-04-28T09:53:36+00:00,15,25,43,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
Morillons - Dantzig,15047,1,0,"[48.83310149953933, 2.299380004405976]",2023-04-28T09:53:24+00:00,1,51,52,OUI,OUI,Paris,OUI,2023-04-28T10:16:00.965Z
