name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-05-19T17:50:00.732Z
Cassini - Denfert-Rochereau,14111,4,1,"[48.837525839067, 2.3360354080796]",2023-05-19T16:58:19+00:00,5,20,25,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Basilique,32017,2,1,"[48.93626891059109, 2.3588666820200914]",2023-05-19T16:56:16+00:00,3,18,22,OUI,OUI,Saint-Denis,OUI,2023-05-19T17:50:00.732Z
Charonne - Robert et Sonia Delaunay,11104,3,0,"[48.855907555969, 2.3925706744194]",2023-05-19T16:57:57+00:00,3,16,20,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-05-19T17:50:00.732Z
Lacépède - Monge,5110,5,3,"[48.84389286531899, 2.3519663885235786]",2023-05-19T16:58:44+00:00,8,11,23,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Saint-Romain - Cherche-Midi,6108,8,7,"[48.84708159081946, 2.321374788880348]",2023-05-19T16:52:38+00:00,15,2,17,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Vaneau - Sèvres,7002,10,9,"[48.84856323305935, 2.3204218259345537]",2023-05-19T16:58:37+00:00,19,15,35,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Guersant - Gouvion-Saint-Cyr,17041,3,2,"[48.88287775178599, 2.287667370814871]",2023-05-19T16:58:33+00:00,5,29,36,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Thouin - Cardinal Lemoine,5016,0,0,"[48.84504716661511, 2.3494647851273465]",2023-05-19T16:54:35+00:00,0,17,17,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Boétie - Ponthieu,8050,9,1,"[48.871417284355, 2.3076787590981]",2023-05-19T16:55:49+00:00,10,22,33,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Le Brix et Mesmin - Jourdan,14108,1,0,"[48.82234096593411, 2.327861653302471]",2023-05-19T16:55:42+00:00,1,19,21,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Bir Hakeim,15026,2,25,"[48.853844054333514, 2.289705348222022]",2023-05-19T16:57:17+00:00,27,5,33,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Liberté - Vert-de-Maisons,47007,1,12,"[48.79014780960843, 2.43286281824112]",2023-05-19T16:58:35+00:00,13,6,20,OUI,OUI,Maisons-Alfort,OUI,2023-05-19T17:50:00.732Z
Chazelles - Courcelles,17025,4,0,"[48.879406604954, 2.3034455627202988]",2023-05-19T16:57:43+00:00,4,28,35,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Moulin de Pierre - Abbé Grégoire,21326,4,0,"[48.822036188382, 2.2754641655975]",2023-05-19T16:56:45+00:00,4,15,20,OUI,OUI,Issy-les-Moulineaux,OUI,2023-05-19T17:50:00.732Z
Ramponeau - Belleville,20143,9,1,"[48.871031137596, 2.379056852114]",2023-05-19T16:55:14+00:00,10,32,44,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Saint-Cloud - Hippodrome,16138,1,0,"[48.85772148887421, 2.2549109905958176]",2023-05-19T16:53:11+00:00,1,26,30,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Louis Lejeune - Barbès,21216,1,0,"[48.81807418981508, 2.3267009854316716]",2023-05-19T16:58:36+00:00,1,24,25,OUI,OUI,Montrouge,OUI,2023-05-19T17:50:00.732Z
Général Martial Valin - Pont du Garigliano,15068,5,0,"[48.83823094269141, 2.270506024360657]",2023-05-19T16:50:18+00:00,5,11,16,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Théâtre des Amandiers - Palais des sports,92002,5,2,"[48.892648526839, 2.2136941552162]",2023-05-19T16:57:16+00:00,7,16,23,OUI,OUI,Nanterre,OUI,2023-05-19T17:50:00.732Z
Italie - Tolbiac,13030,10,4,"[48.82557229464416, 2.3576171323657036]",2023-05-19T16:58:38+00:00,14,4,21,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Serrurier,19027,2,0,"[48.8804934032465, 2.39806417375803]",2023-05-19T16:54:56+00:00,2,16,18,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Caire - Dussoubs,2017,1,1,"[48.86785342111862, 2.349364310503006]",2023-05-19T16:56:00+00:00,2,38,40,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Tour d'Auvergne - Rodier,9008,0,0,"[48.879161, 2.343698]",2023-05-19T16:56:01+00:00,0,16,17,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Artois - Berri,8103,0,5,"[48.87393521240818, 2.3064258322119713]",2023-05-19T16:51:36+00:00,5,18,23,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Marceau - Chaillot,8048,3,0,"[48.868834023334, 2.2986030816809]",2023-05-19T16:58:16+00:00,3,18,21,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Charlot - Stade Gabriel Voisin,21323,0,0,"[48.827228120536, 2.268122527474]",2023-04-07T06:20:24+00:00,0,0,0,NON,NON,Issy-les-Moulineaux,NON,2023-05-19T17:50:00.732Z
Liard - Amiral Mouchez,14013,4,4,"[48.8214169, 2.342167]",2023-05-19T16:58:27+00:00,8,6,14,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
Regnault - Patay,13118,1,52,"[48.82435782216384, 2.377065159380436]",2023-05-19T16:57:00+00:00,53,9,63,OUI,OUI,Paris,OUI,2023-05-19T17:50:00.732Z
