name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Benjamin Godard - Victor Hugo,16107,14,0,"[48.865983, 2.275725]",2023-05-11T06:27:37+00:00,14,21,35,OUI,OUI,Paris,OUI,2023-05-11T07:32:00.656Z
Mairie de Rosny-sous-Bois,31104,18,5,"[48.871256519012, 2.4865807592869]",2023-05-11T06:31:42+00:00,23,7,30,OUI,OUI,Rosny-sous-Bois,OUI,2023-05-11T07:32:00.656Z
Toudouze - Clauzel,9020,2,0,"[48.87929591733507, 2.3373600840568547]",2023-05-11T06:31:07+00:00,2,18,21,OUI,OUI,Paris,OUI,2023-05-11T07:32:00.656Z
Mairie du 12ème,12109,2,2,"[48.840855311763, 2.3875549435616]",2023-05-11T06:31:19+00:00,4,26,30,OUI,OUI,Paris,OUI,2023-05-11T07:32:00.656Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-05-11T07:32:00.656Z
Jourdan - Stade Charléty,14014,4,13,"[48.819428333369, 2.3433353751898]",2023-05-11T06:33:02+00:00,17,39,60,OUI,OUI,Paris,OUI,2023-05-11T07:32:00.656Z
Basilique,32017,9,6,"[48.93626891059109, 2.3588666820200914]",2023-05-11T06:31:13+00:00,15,5,22,OUI,OUI,Saint-Denis,OUI,2023-05-11T07:32:00.656Z
Charonne - Robert et Sonia Delaunay,11104,1,4,"[48.855907555969, 2.3925706744194]",2023-05-11T06:33:19+00:00,5,15,20,OUI,OUI,Paris,OUI,2023-05-11T07:32:00.656Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-05-11T07:32:00.656Z
Saint-Romain - Cherche-Midi,6108,1,1,"[48.84708159081946, 2.321374788880348]",2023-05-11T06:30:44+00:00,2,15,17,OUI,OUI,Paris,OUI,2023-05-11T07:32:00.656Z
