name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,record_timestamp
Benjamin Godard - Victor Hugo,16107,1,1,"[48.865983, 2.275725]",2023-04-16T15:11:24+00:00,2,33,35,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Mairie de Rosny-sous-Bois,31104,3,7,"[48.871256519012, 2.4865807592869]",2023-04-16T15:19:13+00:00,10,20,30,OUI,OUI,Rosny-sous-Bois,OUI,2023-04-16T15:36:00.613Z
Toudouze - Clauzel,9020,6,4,"[48.87929591733507, 2.3373600840568547]",2023-04-16T15:19:31+00:00,10,11,21,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Rouget de L'isle - Watteau,44015,0,0,"[48.778192750803, 2.3963020229163]",2023-02-09T09:35:37+00:00,0,0,0,NON,NON,Vitry-sur-Seine,NON,2023-04-16T15:36:00.613Z
Jourdan - Stade Charléty,14014,8,10,"[48.819428333369, 2.3433353751898]",2023-04-16T15:19:37+00:00,18,40,60,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Messine - Place Du Pérou,8026,3,0,"[48.875448033960744, 2.315508019010038]",2023-04-16T15:18:59+00:00,3,9,12,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Jean Rostand - Paul Vaillant Couturier,30002,0,0,"[48.908168131015, 2.4530601033354]",2023-04-05T09:45:11+00:00,0,0,0,NON,NON,Bobigny,NON,2023-04-16T15:36:00.613Z
Lacépède - Monge,5110,3,0,"[48.84389286531899, 2.3519663885235786]",2023-04-16T15:16:16+00:00,3,18,23,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Pierre et Marie Curie - Maurice Thorez,42016,1,1,"[48.81580226360801, 2.376804985105991]",2023-04-16T15:17:36+00:00,2,24,27,OUI,OUI,Ivry-sur-Seine,OUI,2023-04-16T15:36:00.613Z
Bois de Vincennes - Gare,41301,13,25,"[48.836022242886884, 2.4708339950830287]",2023-04-16T15:19:09+00:00,38,11,50,OUI,OUI,Nogent-sur-Marne,OUI,2023-04-16T15:36:00.613Z
Silly - Galliéni,21010,7,5,"[48.835583838706, 2.2325500845909]",2023-04-16T15:18:06+00:00,12,13,25,OUI,OUI,Boulogne-Billancourt,OUI,2023-04-16T15:36:00.613Z
Harpe - Saint-Germain,5001,7,32,"[48.851518815017, 2.3436703160405]",2023-04-16T15:19:11+00:00,39,1,45,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Froment - Bréguet,11025,4,14,"[48.8570414504784, 2.37289470306807]",2023-04-16T15:18:25+00:00,18,23,43,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Croulebarde - Corvisart,13101,0,1,"[48.830981659316855, 2.3481646925210953]",2023-04-16T15:16:14+00:00,1,32,34,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Liberté - Vert-de-Maisons,47007,0,18,"[48.79014780960843, 2.43286281824112]",2023-04-16T15:19:34+00:00,18,2,20,OUI,OUI,Maisons-Alfort,OUI,2023-04-16T15:36:00.613Z
Porte de Saint-Ouen - Bessières,17044,1,1,"[48.89792240854517, 2.32851451022192]",2023-04-16T15:10:16+00:00,2,36,42,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Cambrai - Benjamin Constant,19033,1,1,"[48.89594736851349, 2.381133802246315]",2023-04-16T15:15:43+00:00,2,39,43,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Chazelles - Courcelles,17025,4,1,"[48.879406604954, 2.3034455627202988]",2023-04-16T15:18:52+00:00,5,28,35,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Lagny - Victor Basch,43002,1,1,"[48.84884147189881, 2.426325418925233]",2023-04-16T15:16:53+00:00,2,22,26,OUI,OUI,Vincennes,OUI,2023-04-16T15:36:00.613Z
Louis Lejeune - Barbès,21216,0,0,"[48.81807418981508, 2.3267009854316716]",2023-04-16T15:15:04+00:00,0,25,25,OUI,OUI,Montrouge,OUI,2023-04-16T15:36:00.613Z
Général Martial Valin - Pont du Garigliano,15068,2,4,"[48.83823094269141, 2.270506024360657]",2023-04-16T15:18:47+00:00,6,10,16,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Rond-point du Dr Albert Schweitzer,22207,3,3,"[48.78980918988166, 2.3143940046429634]",2023-04-16T15:14:11+00:00,6,14,22,OUI,OUI,Bagneux,OUI,2023-04-16T15:36:00.613Z
Théâtre des Amandiers - Palais des sports,92002,13,7,"[48.892648526839, 2.2136941552162]",2023-04-16T15:14:59+00:00,20,2,23,OUI,OUI,Nanterre,OUI,2023-04-16T15:36:00.613Z
Italie - Tolbiac,13030,4,1,"[48.82557229464416, 2.3576171323657036]",2023-04-16T15:19:42+00:00,5,14,21,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Serrurier,19027,0,0,"[48.8804934032465, 2.39806417375803]",2023-04-16T15:18:45+00:00,0,18,18,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Raspail Barbès,31028,10,1,"[48.8529945, 2.4247387]",2023-04-16T15:18:43+00:00,11,17,28,OUI,OUI,Montreuil,OUI,2023-04-16T15:36:00.613Z
Caire - Dussoubs,2017,2,0,"[48.86785342111862, 2.349364310503006]",2023-04-16T15:19:37+00:00,2,37,40,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Tour d'Auvergne - Rodier,9008,1,0,"[48.879161, 2.343698]",2023-04-16T15:17:39+00:00,1,15,17,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Artois - Berri,8103,1,2,"[48.87393521240818, 2.3064258322119713]",2023-04-16T15:16:47+00:00,3,19,23,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Charlot - Stade Gabriel Voisin,21323,0,0,"[48.827228120536, 2.268122527474]",2023-04-07T06:20:24+00:00,0,0,0,NON,NON,Issy-les-Moulineaux,NON,2023-04-16T15:36:00.613Z
Liard - Amiral Mouchez,14013,0,0,"[48.8214169, 2.342167]",2023-04-16T15:16:24+00:00,0,14,14,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Regnault - Patay,13118,3,34,"[48.82435782216384, 2.377065159380436]",2023-04-16T15:14:56+00:00,37,24,63,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Félix Ziem - Armand Gauthier,18111,5,0,"[48.88949630486821, 2.333393658804396]",2023-04-16T15:16:52+00:00,5,19,25,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Abbeville - Faubourg Poissonnière,9002,1,0,"[48.879223, 2.349147]",2023-04-16T15:18:31+00:00,1,11,14,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Youri Gagarine - Karl Marx,48003,1,0,"[48.78448485079149, 2.35908430069685]",2023-04-16T15:17:12+00:00,1,20,22,OUI,OUI,Villejuif,OUI,2023-04-16T15:36:00.613Z
Place Georges Guillaumin,8053,1,0,"[48.874750203956566, 2.301771435325988]",2023-04-16T15:11:44+00:00,1,24,29,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Gay Lussac - Saint-Jacques,5005,4,1,"[48.844730256132095, 2.341923944866407]",2023-04-16T15:14:39+00:00,5,18,24,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Gare de l'Est - Faubourg-Saint-Martin,10161,0,1,"[48.875642647477, 2.3594588041306]",2023-04-16T15:19:11+00:00,1,29,32,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Gare de Nogent-le-Perreux,41303,2,21,"[48.83842553348809, 2.493693307042122]",2023-04-16T15:15:42+00:00,23,8,32,OUI,OUI,Nogent-sur-Marne,OUI,2023-04-16T15:36:00.613Z
Ségur - d'Estrées,7018,1,9,"[48.851419978983, 2.3097044974566]",2023-04-16T15:19:29+00:00,10,7,19,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Place de la République - Voltaire,11046,1,2,"[48.866830968942, 2.3654810339212]",2023-04-16T15:17:31+00:00,3,14,19,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Arsène Houssaye - Friedland,8201,2,0,"[48.874510616163, 2.2994716674148]",2023-04-16T15:17:42+00:00,2,26,29,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Douai - Bruxelles,9038,5,0,"[48.88320784122797, 2.3308449949028507]",2023-04-16T15:19:09+00:00,5,22,27,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Gare Saint-Lazare - Isly,8009,1,8,"[48.874777677621296, 2.326515804784655]",2023-04-16T15:19:39+00:00,9,17,27,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Gare Rosny-Bois-Perrier,31103,8,8,"[48.88115023337061, 2.480436824262142]",2023-04-16T15:17:44+00:00,16,19,36,OUI,OUI,Rosny-sous-Bois,OUI,2023-04-16T15:36:00.613Z
Institut de France,6001,4,3,"[48.857615678565, 2.3358313530377]",2023-04-16T15:14:17+00:00,7,10,17,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Vigée-Lebrun - Anselme Payen,15112,2,1,"[48.838683941628375, 2.3110422492027287]",2023-04-16T15:15:14+00:00,3,21,24,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Château - République,31706,0,2,"[48.862923800596, 2.4155035614967]",2023-04-16T15:19:41+00:00,2,23,26,OUI,OUI,Bagnolet,OUI,2023-04-16T15:36:00.613Z
Henri Barbusse - Stalingrad,22409,0,3,"[48.814183748660554, 2.2872862592339516]",2023-04-16T15:18:20+00:00,3,12,16,OUI,OUI,Malakoff,OUI,2023-04-16T15:36:00.613Z
Institut du Monde Arabe - Saint-Germain,5020,16,21,"[48.849063299501, 2.3558086529374]",2023-04-16T15:19:40+00:00,37,1,40,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Argenteuil - Voltaire,26003,0,1,"[48.91864865955558, 2.2814112156629562]",2023-04-16T15:16:48+00:00,1,14,16,OUI,OUI,Asnières-sur-Seine,OUI,2023-04-16T15:36:00.613Z
Legendre - Clichy,17004,2,0,"[48.88896161855884, 2.322528975094376]",2023-04-16T15:18:37+00:00,2,37,40,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Chartres - La Charbonnière,18107,1,0,"[48.8847601, 2.3534657]",2023-04-16T15:18:19+00:00,1,33,34,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Pesaro - Préfecture,92007,3,4,"[48.89577046284005, 2.223908342421055]",2023-04-16T15:14:32+00:00,7,15,22,OUI,OUI,Nanterre,OUI,2023-04-16T15:36:00.613Z
Ranelagh - Mozart,16026,1,0,"[48.8554439, 2.2704418]",2023-04-16T15:17:40+00:00,1,22,23,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Belidor - Gouvion-Saint-Cyr,17043,0,3,"[48.88022154052015, 2.2854680567979813]",2023-04-16T15:18:26+00:00,3,36,39,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Roquette - Thiéré,11002,0,11,"[48.85507930579506, 2.3733686318721463]",2023-04-16T15:19:32+00:00,11,9,23,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Amelot - Saint-Sébastien,11047,2,0,"[48.86114216276092, 2.367799618107727]",2023-04-16T15:19:31+00:00,2,28,30,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Cimetière de Montrouge,14020,4,2,"[48.822009, 2.322188699]",2023-04-16T15:17:37+00:00,6,52,58,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Gare RER - Canadiens,43401,2,2,"[48.81995307955795, 2.464176752459464]",2023-04-16T15:19:43+00:00,4,40,45,OUI,OUI,Joinville-le-Pont,OUI,2023-04-16T15:36:00.613Z
Redoute - Les Courtilles,26002,10,11,"[48.92986719451888, 2.283669635653496]",2023-04-16T15:18:22+00:00,21,11,32,OUI,OUI,Asnières-sur-Seine,OUI,2023-04-16T15:36:00.613Z
Pyramide - Ecole du Breuil,12128,2,1,"[48.82237977153955, 2.4586871266365056]",2023-04-16T15:18:48+00:00,3,28,34,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Liège - Moscou,8010,0,0,"[48.8795431, 2.3264628]",2023-04-16T15:17:43+00:00,0,16,17,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Schoelcher - Raspail,14003,2,1,"[48.83681733526843, 2.3312794080411474]",2023-04-16T15:19:32+00:00,3,45,50,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Récollets - Square Villemin,10016,2,1,"[48.875034655883944, 2.359801238597928]",2023-04-16T15:13:24+00:00,3,14,17,OUI,OUI,Paris,OUI,2023-04-16T15:36:00.613Z
Marne - Germain Dardan,21212,1,1,"[48.81154270401601, 2.303070724010468]",2023-04-16T15:19:02+00:00,2,20,22,OUI,OUI,Montrouge,OUI,2023-04-16T15:36:00.613Z
